Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed,Location
0,"Sheffield extra",4,25/03/2009,296,,CEC,"Forrest Road",Galvanised,,Y,325706,673202,,"55.9461,-3.19114"
0,"Sheffield extra",4,25/03/2009,297,,CEC,"Forrest Road",Galvanised,,Y,325707,673212,,"55.94619,-3.19112"
0,"Sheffield extra",4,25/03/2009,298,,CEC,"Forrest Road",Galvanised,,Y,325717,673210,,"55.94617,-3.19096"
0,"Sheffield extra",4,25/03/2009,299,,CEC,"Forrest Road",Galvanised,,Y,325716,673200,,"55.94608,-3.19098"
0,"Sheffield Extra",2,18991230,300,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326759,675491,,"55.96682,-3.17491"
0,"Sheffield Extra",2,18991230,301,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326784,675575,,"55.96758,-3.17453"
0,"Sheffield Extra",2,18991230,302,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326803,675608,,"55.96788,-3.17424"
0,"Sheffield Extra",2,18991230,303,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326868,675736,,"55.96904,-3.17323"
0,"Sheffield Extra",2,18991230,304,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326903,675776,,"55.96941,-3.17268"
0,"Sheffield Extra",4,18991230,305,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326715,675439,,"55.96635,-3.1756"
0,"Sheffield Extra",4,18991230,306,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326721,675413,,"55.96612,-3.1755"
0,"Sheffield Extra",4,18991230,307,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326705,675381,,"55.96583,-3.17575"
0,"Sheffield Extra",2,18991230,308,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326696,675393,,"55.96593,-3.17589"
0,"Sheffield Extra",4,18991230,309,"Confirmed by tram team (28/01/08)",CEC,"Leith Walk",Black,,Y,326625,675262,,"55.96475,-3.17699"
0,"Sheffield Extra",4,18991230,310,"Shown on tram drawing but not there now",CEC,,Black,,?,326517,675081,,"55.9631,-3.17868"
0,"Sheffield Extra",2,18991230,311,"Shown on tram drawing but not there now",CEC,,Black,,?,326529,675068,,"55.96299,-3.17848"
0,"Sheffield Extra",4,18991230,312,"Shown in tram drawing but not there now",CEC,,Black,,?,326497,675021,,"55.96256,-3.17898"
0,"Sheffield Extra",4,18991230,313,,CEC,,Black,,Y,326187,674643,,"55.95912,-3.18384"
0,"Sheffield Extra",2,18991230,314,,CEC,,Black,,Y,326832,675669,,"55.96843,-3.17379"
0,"Sheffield Extra",4,18991230,315,,CEC,"Leith Walk",Black,,Y,326750,675508,,"55.96698,-3.17506"
0,Sheffield,22,18991230,316,,NHS,"Western General - Unit?",,,Y,322865,675021,,"55.96199,-3.23714"
0,Sheffield,20,18991230,317,"Check No.",NHS,"Western General - Unit?",,,Y,322855,674971,,"55.96154,-3.23729"
0,Sheffield,18,18991230,318,"Check No. and exact location","NHS Lothian","Western General - Unit?",,,Y,322874,675079,,"55.96251,-3.23701"
0,"Sheffield Extra",16,18991230,319,,"NHS Lothian","Western General",,,Y,323080,675191,,"55.96355,-3.23375"
0,Sheffield,18,18991230,320,,NHS,"WGH - Alexander Donald building","Blue paint",,Y,322922,675076,,"55.9625,-3.23624"
0,Sheffield,22,18991230,321,,NHS,"WGH - Alexander Donald Building","Blue paint",,Y,322925,675061,,"55.96236,-3.23619"
0,"Cage and Sheffield loops",32,18991230,322,"Check no.","NHS Lothian",,,,N,322974,675076,,"55.9625,-3.23541"
0,Sheffield,20,18991230,323,"Check No. and location","NHS Lothian","Western General",,,Y,323080,675086,,"55.96261,-3.23372"
0,Bespoke,22,18991230,324,,"Property owner","Student flats","Stainless steel",,Y,325317,672808,,"55.9425,-3.19726"
0,Sheffield,8,18991230,325,,,Quartermile,"Stainless Steel",,Y,325604,672932,,"55.94366,-3.1927"
0,"Sheffield Extra",4,18991230,326,,CEC,,Black,,Y,326494,676456,,"55.97544,-3.17942"
0,"Sheffield Extra",2,18991230,327,,CEC,"Great Junction Street shops",Black,,Y,326718,676167,,"55.97288,-3.17575"
0,"Sheffield Extra",2,18991230,328,,CEC,"Great Junction Street",Black,,Y,326676,676217,,"55.97332,-3.17644"
0,"Sheffield Extra",2,18991230,329,,CEC,,Black,,Y,326647,676251,,"55.97362,-3.17691"
0,"Sheffield Extra",4,18991230,330,,CEC,,Black,,Y,326520,676478,,"55.97564,-3.17901"
0,"Sheffield Extra",2,18991230,331,"Check No.",CEC,,Black,,Y,326151,674495,,"55.95778,-3.18438"
0,"Sheffield Extra",4,18991230,332,,CEC,,,,Y,330626,673822,,"55.9524,-3.11255"
0,"Sheffield Extra",4,18991230,333,,CEC,,Black,,Y,330440,673968,,"55.95369,-3.11555"
0,Sheffield,8,18991230,334,,,Office,"Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,4,18991230,335,,,,"Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",2,18991230,336,,,,,"Stainless Steel",Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",2,18991230,337,,,,,"Stainless Steel",Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,6,18991230,338,Covered,"NHS Lothian",,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,8,18991230,339,,"NHS Lothian",,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,6,18991230,340,Covered,"NHS Lothian",,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Wheel-bender,20,18991230,341,Caged,"NHS Lothian",,,,N,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,8,18991230,342,,"NHS Lothian",,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,10,18991230,343,,,,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,10,18991230,344,Caged,,,,,N,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",12,01/10/2010,345,,,"Usher Hall","Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,01/08/2010,346,,CEC,"Glenogle Baths","Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",8,01/08/2010,347,,CEC,"Glenogle Baths","Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",8,18991230,348,,,,"Stainless Steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",16,18991230,349,"Check number/finish",Sainsburys,Sainsburys,,,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",8,18991230,350,"Check no, type, finish",,,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,4,18991230,351,"Not very visible",,,"Stainless steel",,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,14,18991230,352,,NHS,"WGH - Outpatients building","Blue paint",,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,8,18991230,353,,NHS,"WGH - Outpatients building",,,Y,0,0,18991230,"49.76682,-7.55716"
0,Sheffield,4,18991230,354,,,,Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,Cyclehoop,2,18991230,355,,CEC,"West Nicolson Street",Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,Cyclehoop,2,18991230,356,,CEC,"West Nicolson Street",Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,18991230,357,,CEC,,Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,Bespoke,2,18991230,358,"Not clear if for cycles",,,,,Y,0,0,18991230,"49.76682,-7.55716"
0,Bespoke,2,18991230,359,"Not clear if for cycles",,,,,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,18991230,360,,CEC,,Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,18991230,361,,CEC,,Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,Cyclehoop,2,18991230,362,,,,Black,,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,18991230,363,,CEC,"Easter Road",Black,N,Y,0,0,18991230,"49.76682,-7.55716"
0,"Sheffield Extra",4,18991230,364,,CEC,"Easter Road",Black,N,Y,0,0,18991230,"49.76682,-7.55716"
